Gene stable ID,Gene name,Mouse gene stable ID,Mouse gene name,Last common ancestor with Mouse,Mouse homology type,%id. target Mouse gene identical to query gene,%id. query gene identical to target Mouse gene,Mouse Gene-order conservation score,Mouse Whole-genome alignment coverage,"Mouse orthology confidence [0 low, 1 high]"
ENSG00000274847,MAFIP,ENSMUSG00000024175,Tekt4,Boreoeutheria,ortholog_one2many,63.5659,18.3445,0,93.23,0
ENSG00000273748,,ENSMUSG00000031590,Frg1,Eutheria,ortholog_one2many,77.2358,36.8217,0,68.23,0
ENSG00000276351,,ENSMUSG00002075214,,Eutheria,ortholog_one2many,91.3043,90,,100.00,1
ENSG00000276345,,ENSMUSG00000037772,Mrpl23,Euarchontoglires,ortholog_one2many,80.3922,71.5116,0,95.67,1
ENSG00000273532,,ENSMUSG00002076121,,Eutheria,ortholog_one2many,91.5493,91.5493,,100.00,1
ENSG00000275063,,ENSMUSG00000076676,Ighv12-3,Boreoeutheria,ortholog_many2many,61.5385,61.5385,0,0.00,0
ENSG00000275063,,ENSMUSG00000093838,Ighv3-1,Boreoeutheria,ortholog_many2many,65.812,66.3793,0,0.00,0
ENSG00000275063,,ENSMUSG00000076670,Ighv3-5,Boreoeutheria,ortholog_many2many,62.3932,62.3932,0,0.00,0
ENSG00000275063,,ENSMUSG00000076672,Ighv3-6,Boreoeutheria,ortholog_many2many,66.6667,67.2414,0,0.00,0
ENSG00000275063,,ENSMUSG00000094029,Ighv3-3,Boreoeutheria,ortholog_many2many,65.812,66.3793,0,0.00,0
ENSG00000275063,,ENSMUSG00000103939,Ighv3-4,Boreoeutheria,ortholog_many2many,60.6838,60.6838,0,0.00,0
ENSG00000275063,,ENSMUSG00000076674,Ighv3-8,Boreoeutheria,ortholog_many2many,64.1026,57.2519,0,0.00,0
ENSG00000273554,,ENSMUSG00000019558,Slc6a8,Euarchontoglires,ortholog_one2many,94.0157,93.2812,0,100.00,1
ENSG00000114374,USP9Y,ENSMUSG00000069044,Usp9y,Euarchontoglires,ortholog_one2one,82.818,82.7856,25,98.85,1
ENSG00000198692,EIF1AY,ENSMUSG00000096049,Eif1ad17,Euarchontoglires,ortholog_one2many,90.2778,90.2778,0,0.00,0
ENSG00000198692,EIF1AY,ENSMUSG00000079034,Eif1ad8,Euarchontoglires,ortholog_one2many,93.0556,93.0556,0,0.00,0
ENSG00000198692,EIF1AY,ENSMUSG00000095799,Eif1ad10,Euarchontoglires,ortholog_one2many,93.0556,93.0556,0,0.00,0
ENSG00000198692,EIF1AY,ENSMUSG00000114075,Eif1ad18,Euarchontoglires,ortholog_one2many,92.3611,92.3611,0,0.00,0
ENSG00000198692,EIF1AY,ENSMUSG00000096619,Eif1ad14,Euarchontoglires,ortholog_one2many,92.3611,92.3611,0,0.00,0
ENSG00000198692,EIF1AY,ENSMUSG00000092019,Eif1ad6,Euarchontoglires,ortholog_one2many,89.5833,89.5833,0,0.00,0
ENSG00000198692,EIF1AY,ENSMUSG00000095724,Eif1ad19,Euarchontoglires,ortholog_one2many,92.3611,92.3611,0,0.00,0
ENSG00000198692,EIF1AY,ENSMUSG00000079029,Eif1ad7,Euarchontoglires,ortholog_one2many,91.6667,91.6667,0,0.00,0
ENSG00000198692,EIF1AY,ENSMUSG00000096803,Eif1ad16,Euarchontoglires,ortholog_one2many,90.2778,90.2778,0,0.00,0
ENSG00000198692,EIF1AY,ENSMUSG00000095717,Eif1ad11,Euarchontoglires,ortholog_one2many,93.0556,93.0556,0,0.00,0
ENSG00000198692,EIF1AY,ENSMUSG00000093847,Eif1ad15,Euarchontoglires,ortholog_one2many,93.75,93.75,0,0.00,0
ENSG00000198692,EIF1AY,ENSMUSG00000113805,Eif1ad12,Euarchontoglires,ortholog_one2many,93.0556,93.0556,0,0.00,0
ENSG00000198692,EIF1AY,ENSMUSG00000057561,Eif1a,Euarchontoglires,ortholog_one2many,97.9167,55.5118,0,0.00,0
ENSG00000198692,EIF1AY,ENSMUSG00000113201,Eif1ad13,Euarchontoglires,ortholog_one2many,90.9722,90.9722,0,0.00,0
ENSG00000198692,EIF1AY,ENSMUSG00000113971,Eif1ad4,Euarchontoglires,ortholog_one2many,92.3611,92.3611,0,0.00,0
ENSG00000198692,EIF1AY,ENSMUSG00000072905,Eif1ad3,Euarchontoglires,ortholog_one2many,91.6667,91.6667,0,0.00,0
ENSG00000198692,EIF1AY,ENSMUSG00000079031,Eif1ad2,Euarchontoglires,ortholog_one2many,89.5833,89.5833,0,0.00,0
ENSG00000244395,RBMY1D,ENSMUSG00000091987,Gm10352,Euarchontoglires,ortholog_many2many,31.6532,41.3158,0,0.00,0
ENSG00000244395,RBMY1D,ENSMUSG00000093987,Gm21704,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000244395,RBMY1D,ENSMUSG00000094511,Gm21693,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000244395,RBMY1D,ENSMUSG00000093918,Gm21677,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000244395,RBMY1D,ENSMUSG00000095948,Gm21708,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000244395,RBMY1D,ENSMUSG00000096520,Gm3376,Euarchontoglires,ortholog_many2many,32.0564,41.8421,0,0.00,0
ENSG00000244395,RBMY1D,ENSMUSG00000095852,Gm10256,Euarchontoglires,ortholog_many2many,31.6532,41.3158,0,0.00,0
ENSG00000244395,RBMY1D,ENSMUSG00000102053,Gm4064,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,83.35,0
ENSG00000244395,RBMY1D,ENSMUSG00000094658,Rbmy,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000244395,RBMY1D,ENSMUSG00000101667,Gm29289,Euarchontoglires,ortholog_many2many,17.1371,51.2048,0,0.00,0
ENSG00000252900,RNU6-303P,ENSMUSG00000089162,Gm24129,Eutheria,ortholog_one2many,63.2075,69.0722,,0.00,0
ENSG00000252173,RNU6-109P,ENSMUSG00000087782,Gm23169,Amniota,ortholog_one2many,72.8972,69.6429,,0.00,0
ENSG00000252323,RNU6-184P,ENSMUSG00000087782,Gm23169,Amniota,ortholog_one2many,72.8972,69.6429,,0.00,0
ENSG00000169953,HSFY2,ENSMUSG00000045336,Hsfy2,Euarchontoglires,ortholog_one2many,44.389,45.4082,0,100.00,0
ENSG00000251970,RNU1-41P,ENSMUSG00000065303,Gm23249,Theria,ortholog_one2many,71.6049,72.0497,,0.00,0
ENSG00000252513,RNU1-128P,ENSMUSG00000065303,Gm23249,Theria,ortholog_one2many,70.625,70.1863,,0.00,0
ENSG00000252166,RNU1-95P,ENSMUSG00000065303,Gm23249,Theria,ortholog_one2many,70.625,70.1863,,0.00,0
ENSG00000252209,RNU1-48P,ENSMUSG00000065303,Gm23249,Theria,ortholog_one2many,71.6049,72.0497,,0.00,0
ENSG00000012817,KDM5D,ENSMUSG00000056673,Kdm5d,Euarchontoglires,ortholog_one2one,80.7667,80.2972,0,100.00,1
ENSG00000172468,HSFY1,ENSMUSG00000045336,Hsfy2,Euarchontoglires,ortholog_one2many,44.389,45.4082,0,99.92,0
ENSG00000176679,TGIF2LY,ENSMUSG00000100194,Tgif2lx2,Euarchontoglires,ortholog_many2many,24.8649,19.9134,25,90.97,0
ENSG00000176679,TGIF2LY,ENSMUSG00000100133,Tgif2lx1,Euarchontoglires,ortholog_many2many,24.8649,19.9134,0,0.00,0
ENSG00000169800,RBMY1F,ENSMUSG00000091987,Gm10352,Euarchontoglires,ortholog_many2many,31.6532,41.3158,0,0.00,0
ENSG00000169800,RBMY1F,ENSMUSG00000093987,Gm21704,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000169800,RBMY1F,ENSMUSG00000094511,Gm21693,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000169800,RBMY1F,ENSMUSG00000093918,Gm21677,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000169800,RBMY1F,ENSMUSG00000095948,Gm21708,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000169800,RBMY1F,ENSMUSG00000096520,Gm3376,Euarchontoglires,ortholog_many2many,32.0564,41.8421,0,0.00,0
ENSG00000169800,RBMY1F,ENSMUSG00000095852,Gm10256,Euarchontoglires,ortholog_many2many,31.6532,41.3158,0,0.00,0
ENSG00000169800,RBMY1F,ENSMUSG00000102053,Gm4064,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,83.46,0
ENSG00000169800,RBMY1F,ENSMUSG00000094658,Rbmy,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000169800,RBMY1F,ENSMUSG00000101667,Gm29289,Euarchontoglires,ortholog_many2many,16.9355,50.6024,0,0.00,0
ENSG00000205916,DAZ4,ENSMUSG00000010592,Dazl,Euarchontoglires,ortholog_one2many,24.2047,58.7248,0,98.10,0
ENSG00000184895,SRY,ENSMUSG00000069036,Sry,Euarchontoglires,ortholog_one2one,34.3137,17.7215,0,46.62,0
ENSG00000067646,ZFY,ENSMUSG00000079509,Zfx,Boreoeutheria,ortholog_one2one,91.2609,91.4894,0,100.00,1
ENSG00000067048,DDX3Y,ENSMUSG00000069045,Ddx3y,Euarchontoglires,ortholog_one2one,88.9394,89.2097,25,100.00,1
ENSG00000183878,UTY,ENSMUSG00000068457,Uty,Boreoeutheria,ortholog_one2one,67.5208,80.4455,0,4.41,0
ENSG00000154620,TMSB4Y,ENSMUSG00000049775,Tmsb4x,Boreoeutheria,ortholog_one2one,93.1818,82,0,100.00,1
ENSG00000187191,DAZ3,ENSMUSG00000010592,Dazl,Euarchontoglires,ortholog_one2many,40.1826,59.0604,0,97.27,0
ENSG00000188120,DAZ1,ENSMUSG00000010592,Dazl,Euarchontoglires,ortholog_one2many,23.3871,58.3893,0,99.25,0
ENSG00000092377,TBL1Y,ENSMUSG00000025246,Tbl1x,Euarchontoglires,ortholog_one2many,93.295,92.4099,0,100.00,1
ENSG00000205944,DAZ2,ENSMUSG00000010592,Dazl,Euarchontoglires,ortholog_one2many,27.0642,59.396,0,97.86,0
ENSG00000242389,RBMY1E,ENSMUSG00000091987,Gm10352,Euarchontoglires,ortholog_many2many,31.6532,41.3158,0,0.00,0
ENSG00000242389,RBMY1E,ENSMUSG00000093987,Gm21704,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000242389,RBMY1E,ENSMUSG00000094511,Gm21693,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000242389,RBMY1E,ENSMUSG00000093918,Gm21677,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000242389,RBMY1E,ENSMUSG00000095948,Gm21708,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000242389,RBMY1E,ENSMUSG00000096520,Gm3376,Euarchontoglires,ortholog_many2many,32.0564,41.8421,0,0.00,0
ENSG00000242389,RBMY1E,ENSMUSG00000095852,Gm10256,Euarchontoglires,ortholog_many2many,31.6532,41.3158,0,0.00,0
ENSG00000242389,RBMY1E,ENSMUSG00000102053,Gm4064,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,83.35,0
ENSG00000242389,RBMY1E,ENSMUSG00000094658,Rbmy,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000242389,RBMY1E,ENSMUSG00000101667,Gm29289,Euarchontoglires,ortholog_many2many,17.1371,51.2048,0,0.00,0
ENSG00000252625,RNU1-40P,ENSMUSG00000065303,Gm23249,Theria,ortholog_one2many,67.0732,68.323,,0.00,0
ENSG00000252948,RNU6-1314P,ENSMUSG00000065173,Gm22127,Eutheria,ortholog_one2many,82.6923,81.1321,,0.00,0
ENSG00000242875,RBMY1B,ENSMUSG00000091987,Gm10352,Euarchontoglires,ortholog_many2many,31.8548,41.5789,0,0.00,0
ENSG00000242875,RBMY1B,ENSMUSG00000093987,Gm21704,Euarchontoglires,ortholog_many2many,31.6532,41.3158,0,0.00,0
ENSG00000242875,RBMY1B,ENSMUSG00000094511,Gm21693,Euarchontoglires,ortholog_many2many,31.6532,41.3158,0,0.00,0
ENSG00000242875,RBMY1B,ENSMUSG00000093918,Gm21677,Euarchontoglires,ortholog_many2many,31.6532,41.3158,0,0.00,0
ENSG00000242875,RBMY1B,ENSMUSG00000095948,Gm21708,Euarchontoglires,ortholog_many2many,31.6532,41.3158,0,0.00,0
ENSG00000242875,RBMY1B,ENSMUSG00000096520,Gm3376,Euarchontoglires,ortholog_many2many,32.2581,42.1053,0,0.00,0
ENSG00000242875,RBMY1B,ENSMUSG00000095852,Gm10256,Euarchontoglires,ortholog_many2many,31.8548,41.5789,0,0.00,0
ENSG00000242875,RBMY1B,ENSMUSG00000102053,Gm4064,Euarchontoglires,ortholog_many2many,31.6532,41.3158,0,83.05,0
ENSG00000242875,RBMY1B,ENSMUSG00000094658,Rbmy,Euarchontoglires,ortholog_many2many,31.6532,41.3158,0,0.00,0
ENSG00000242875,RBMY1B,ENSMUSG00000101667,Gm29289,Euarchontoglires,ortholog_many2many,17.1371,51.2048,0,0.00,0
ENSG00000234414,RBMY1A1,ENSMUSG00000091987,Gm10352,Euarchontoglires,ortholog_many2many,31.6532,41.3158,0,0.00,0
ENSG00000234414,RBMY1A1,ENSMUSG00000093987,Gm21704,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000234414,RBMY1A1,ENSMUSG00000094511,Gm21693,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000234414,RBMY1A1,ENSMUSG00000093918,Gm21677,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000234414,RBMY1A1,ENSMUSG00000095948,Gm21708,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000234414,RBMY1A1,ENSMUSG00000096520,Gm3376,Euarchontoglires,ortholog_many2many,32.0564,41.8421,0,0.00,0
ENSG00000234414,RBMY1A1,ENSMUSG00000095852,Gm10256,Euarchontoglires,ortholog_many2many,31.6532,41.3158,0,0.00,0
ENSG00000234414,RBMY1A1,ENSMUSG00000102053,Gm4064,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,83.07,0
ENSG00000234414,RBMY1A1,ENSMUSG00000094658,Rbmy,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000234414,RBMY1A1,ENSMUSG00000101667,Gm29289,Euarchontoglires,ortholog_many2many,17.1371,51.2048,0,0.00,0
ENSG00000252681,RNU1-97P,ENSMUSG00000065303,Gm23249,Theria,ortholog_one2many,67.0732,68.323,,0.00,0
ENSG00000252468,RNU2-57P,ENSMUSG00000065907,Gm26108,Euteleostomi,ortholog_one2many,81.6754,81.6754,,0.00,0
ENSG00000099715,PCDH11Y,ENSMUSG00000034755,Pcdh11x,Euarchontoglires,ortholog_one2many,81.7308,76.2332,25,99.00,1
ENSG00000251917,RNU1-86P,ENSMUSG00000065303,Gm23249,Theria,ortholog_one2many,65.5844,62.7329,,0.00,0
ENSG00000252426,RNU1-107P,ENSMUSG00000065303,Gm23249,Theria,ortholog_one2many,65.5844,62.7329,,0.00,0
ENSG00000226941,RBMY1J,ENSMUSG00000091987,Gm10352,Euarchontoglires,ortholog_many2many,31.6532,41.3158,0,0.00,0
ENSG00000226941,RBMY1J,ENSMUSG00000093987,Gm21704,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000226941,RBMY1J,ENSMUSG00000094511,Gm21693,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000226941,RBMY1J,ENSMUSG00000093918,Gm21677,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000226941,RBMY1J,ENSMUSG00000095948,Gm21708,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000226941,RBMY1J,ENSMUSG00000096520,Gm3376,Euarchontoglires,ortholog_many2many,32.0564,41.8421,0,0.00,0
ENSG00000226941,RBMY1J,ENSMUSG00000095852,Gm10256,Euarchontoglires,ortholog_many2many,31.6532,41.3158,0,0.00,0
ENSG00000226941,RBMY1J,ENSMUSG00000102053,Gm4064,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,83.47,0
ENSG00000226941,RBMY1J,ENSMUSG00000094658,Rbmy,Euarchontoglires,ortholog_many2many,31.4516,41.0526,0,0.00,0
ENSG00000226941,RBMY1J,ENSMUSG00000101667,Gm29289,Euarchontoglires,ortholog_many2many,16.9355,50.6024,0,0.00,0
ENSG00000102699,PARP4,ENSMUSG00000054509,Parp4,Euarchontoglires,ortholog_one2one,63.9211,55.9675,0,78.42,1
ENSG00000027001,MIPEP,ENSMUSG00000021993,Mipep,Euarchontoglires,ortholog_one2one,83.5905,83.8256,75,100.00,1
ENSG00000102781,KATNAL1,ENSMUSG00000041298,Katnal1,Mammalia,ortholog_one2one,93.8775,94.2623,100,100.00,1
ENSG00000236444,UBE2L5,ENSMUSG00000038965,Ube2l3,Amniota,ortholog_one2many,97.4026,97.4026,0,0.00,0
ENSG00000133101,CCNA1,ENSMUSG00000027793,Ccna1,Euarchontoglires,ortholog_one2one,76.3441,84.323,100,100.00,1
ENSG00000132952,USPL1,ENSMUSG00000041264,Uspl1,Euarchontoglires,ortholog_one2one,60.0733,60.2388,100,100.00,1
ENSG00000120669,SOHLH2,ENSMUSG00000027794,Sohlh2,Euarchontoglires,ortholog_one2one,51.0588,46.4668,100,95.94,0
ENSG00000120694,HSPH1,ENSMUSG00000029657,Hsph1,Eutheria,ortholog_one2one,93.2401,93.2401,100,100.00,1
ENSG00000083635,NUFIP1,ENSMUSG00000022009,Nufip1,Euarchontoglires,ortholog_one2one,70.303,71.9008,75,100.00,1
ENSG00000102753,KPNA3,ENSMUSG00000021929,Kpna3,Euarchontoglires,ortholog_one2one,99.2322,99.2322,100,100.00,1
ENSG00000165475,CRYL1,ENSMUSG00000021947,Cryl1,Euarchontoglires,ortholog_one2one,84.0125,84.0125,100,100.00,1
ENSG00000165556,CDX2,ENSMUSG00000029646,Cdx2,Euarchontoglires,ortholog_one2one,92.9712,93.5691,100,100.00,1
ENSG00000152520,PAN3,ENSMUSG00000029647,Pan3,Euarchontoglires,ortholog_one2one,94.5885,94.5885,100,100.00,1
ENSG00000102547,CAB39L,ENSMUSG00000021981,Cab39l,Boreoeutheria,ortholog_one2one,98.5163,98.5163,75,100.00,1
ENSG00000102743,SLC25A15,ENSMUSG00000031482,Slc25a15,Euarchontoglires,ortholog_one2one,95.0166,95.0166,25,100.00,1
ENSG00000120675,DNAJC15,ENSMUSG00000022013,Dnajc15,Euarchontoglires,ortholog_one2one,76.6667,77.1812,100,100.00,1
ENSG00000132975,GPR12,ENSMUSG00000041468,Gpr12,Boreoeutheria,ortholog_one2one,93.7126,93.7126,100,100.00,1
ENSG00000188342,GTF2F2,ENSMUSG00000067995,Gtf2f2,Boreoeutheria,ortholog_one2one,97.992,97.992,100,100.00,1
ENSG00000132970,WASF3,ENSMUSG00000029636,Wasf3,Euarchontoglires,ortholog_one2one,93.6255,93.8124,100,100.00,1
ENSG00000133110,POSTN,ENSMUSG00000027750,Postn,Euarchontoglires,ortholog_one2one,89.9522,89.7375,100,100.00,1
ENSG00000151778,SERP2,ENSMUSG00000052584,Serp2,Boreoeutheria,ortholog_one2one,100,100,100,100.00,1
ENSG00000102531,FNDC3A,ENSMUSG00000033487,Fndc3a,Boreoeutheria,ortholog_one2one,91.0685,91.0685,50,100.00,1
ENSG00000183722,LHFPL6,ENSMUSG00000048332,Lhfp,Euarchontoglires,ortholog_one2one,97,97,100,100.00,1
ENSG00000023516,AKAP11,ENSMUSG00000022016,Akap11,Euarchontoglires,ortholog_one2one,74.0663,74.34,100,100.00,1
ENSG00000204899,MZT1,ENSMUSG00000033186,Mzt1,Euarchontoglires,ortholog_one2one,80.4878,84.6154,100,100.00,1
ENSG00000171873,ADRA1D,ENSMUSG00000027335,Adra1d,Euarchontoglires,ortholog_one2one,83.9161,85.4093,100,100.00,1
ENSG00000120685,PROSER1,ENSMUSG00000049504,Proser1,Amniota,ortholog_one2one,78.178,80.8324,100,100.00,1
ENSG00000101282,RSPO4,ENSMUSG00000032852,Rspo4,Euarchontoglires,ortholog_one2one,81.1966,83.3333,100,100.00,1
ENSG00000125903,DEFB129,ENSMUSG00000074681,Defb23,Euarchontoglires,ortholog_one2one,38.7978,42.7711,100,100.00,0
ENSG00000101280,ANGPT4,ENSMUSG00000027460,Angpt4,Euarchontoglires,ortholog_one2one,55.0696,54.4204,100,100.00,1
ENSG00000089012,SIRPG,ENSMUSG00000074677,Sirpb1c,Euarchontoglires,ortholog_many2many,53.4884,52.1411,0,2.11,0
ENSG00000089012,SIRPG,ENSMUSG00000078783,Gm9733,Euarchontoglires,ortholog_many2many,20.9302,45.5056,0,1.79,0
ENSG00000089012,SIRPG,ENSMUSG00000078780,Gm5150,Euarchontoglires,ortholog_many2many,21.7054,28.0936,0,0.44,0
ENSG00000089012,SIRPG,ENSMUSG00000037902,Sirpa,Euarchontoglires,ortholog_many2many,52.9716,39.961,0,78.22,0
ENSG00000089012,SIRPG,ENSMUSG00000095028,Sirpb1b,Euarchontoglires,ortholog_many2many,53.7468,52.3929,0,6.71,0
ENSG00000089012,SIRPG,ENSMUSG00000095788,Sirpb1a,Euarchontoglires,ortholog_many2many,53.7468,52.3929,0,0.00,0
ENSG00000165837,ERICH6B,ENSMUSG00000022002,Erich6b,Euarchontoglires,ortholog_one2one,33.7644,40.9408,75,100.00,0
ENSG00000133116,KL,ENSMUSG00000058488,Kl,Euarchontoglires,ortholog_one2one,85.9684,85.7988,75,100.00,1
ENSG00000171984,SHLD1,ENSMUSG00000044991,Shld1,Euarchontoglires,ortholog_one2one,61.9512,61.6505,100,100.00,1
ENSG00000125827,TMX4,ENSMUSG00000034723,Tmx4,Euarchontoglires,ortholog_one2one,79.6562,82.9851,100,100.00,1
ENSG00000136099,PCDH8,ENSMUSG00000036422,Pcdh8,Euarchontoglires,ortholog_one2one,94.2056,94.2056,100,100.00,1
ENSG00000083535,PIBF1,ENSMUSG00000022064,Pibf1,Euarchontoglires,ortholog_one2one,88.7715,88.8889,100,100.00,1
ENSG00000149346,SLX4IP,ENSMUSG00000027281,Slx4ip,Euarchontoglires,ortholog_one2one,69.3627,68.523,100,100.00,1
ENSG00000178591,DEFB125,ENSMUSG00000074680,Defb26,Euarchontoglires,ortholog_one2one,29.4872,24.7312,50,51.63,0
ENSG00000125820,NKX2-2,ENSMUSG00000027434,Nkx2-2,Euarchontoglires,ortholog_one2one,98.1685,98.1685,100,100.00,1
ENSG00000125845,BMP2,ENSMUSG00000027358,Bmp2,Euarchontoglires,ortholog_one2one,91.1616,91.6244,100,100.00,1
ENSG00000101327,PDYN,ENSMUSG00000027400,Pdyn,Euarchontoglires,ortholog_one2one,63.7795,65.3226,50,100.00,1
ENSG00000136122,BORA,ENSMUSG00000022070,Bora,Euarchontoglires,ortholog_one2one,67.0841,71.4286,100,100.00,1
ENSG00000125898,FAM110A,ENSMUSG00000027459,Fam110a,Euarchontoglires,ortholog_one2one,85.7627,85.473,100,100.00,1
ENSG00000173404,INSM1,ENSMUSG00000068154,Insm1,Euarchontoglires,ortholog_one2one,93.1373,91.1708,100,100.00,1
ENSG00000185982,DEFB128,ENSMUSG00000049560,Defb20,Euarchontoglires,ortholog_one2one,40.8602,39.5833,100,100.00,0
ENSG00000150361,KLHL1,ENSMUSG00000022076,Klhl1,Euarchontoglires,ortholog_one2one,95.3209,94.9401,100,100.00,1
ENSG00000132640,BTBD3,ENSMUSG00000062098,Btbd3,Euarchontoglires,ortholog_one2one,97.1264,95.6604,100,100.00,1
ENSG00000122034,GTF3A,ENSMUSG00000016503,Gtf3a,Boreoeutheria,ortholog_one2one,77.8082,78.022,100,100.00,1
ENSG00000136110,CNMD,ENSMUSG00000022025,Cnmd,Euarchontoglires,ortholog_one2one,88.9222,87.8698,50,100.00,1
ENSG00000125816,NKX2-4,ENSMUSG00000054160,Nkx2-4,Euarchontoglires,ortholog_one2one,93.7853,93.7853,100,100.00,1
ENSG00000089063,TMEM230,ENSMUSG00000027341,Tmem230,Eutheria,ortholog_one2one,63.388,96.6667,100,91.30,1
ENSG00000187676,B3GLCT,ENSMUSG00000051950,B3glct,Euarchontoglires,ortholog_one2one,83.3333,84.8671,100,100.00,1
ENSG00000120690,ELF1,ENSMUSG00000036461,Elf1,Euarchontoglires,ortholog_one2one,88.6914,89.7059,50,100.00,1
ENSG00000125851,PCSK2,ENSMUSG00000027419,Pcsk2,Boreoeutheria,ortholog_one2one,96.7085,96.8603,100,100.00,1
ENSG00000136155,SCEL,ENSMUSG00000022123,Scel,Euarchontoglires,ortholog_one2one,63.9535,67.4847,100,100.00,1
ENSG00000125815,CST8,ENSMUSG00000027442,Cst8,Euarchontoglires,ortholog_one2one,58.4507,58.4507,75,100.00,1
ENSG00000101230,ISM1,ENSMUSG00000074766,Ism1,Euarchontoglires,ortholog_one2one,92.8879,93.4924,100,100.00,1
